0263,CCCCOC1=CC=C(C=C1)CC(=O)NO,12.885944
0391,CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC,2.8689
0186,CC1=C(C=C(C=C1)NC(=O)N2CC(C2)N3C=CN=C3)C,10.06
0186,CC(C)(C)C1=CSC(=N1)C2=CSC(=C2)S(=O)(=O)NC3=CC(=C(C=C3)OC)Cl,20.35833333333333
0391,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C4C(S(=O)(=O)C5N4C(=O)C5)(C)C)C,2.615
0186,CC1=CC=C(C=C1)C2=C(C(=NS2(=O)=O)N3CCCN(CC3)C(=O)C4CCOC4)C,12.203333333333337
0192,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,0.92
0186,CCN1C(=O)COC2=C1C=C(C=C2)C3=NOC(=N3)C4(CC4)C5=CC=C(C=C5)OC,18.973333333333336
0201,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,13.05333333
0204,C1(C(C(OC(C1O)O)C(=O)O)O)O,0.743333333
0186,CC1=CC(=C(N1)C(=O)N2CCC(CC2)CC(=O)NCCC(C)C)C,12.74
0391,CC(C)(C)CC1C2(C(C(N1)C(=O)NC3=C(C=C(C=C3)C(=O)N)OC)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O,4.6511
0186,CCC1=CC=C(C=C1)NC(=O)CN2C3=C(N=CC=C3)N4C(=CC(=N4)C5=CC=CO5)C2=O,14.705
0186,CSC1=CC=C(C=C1)C2=NOC(=N2)CN3C(=O)C4=CC(=NN4C=N3)C5=CC=CC=C5Cl,20.041666666666668
0331,COC1=C(C=CC(=C1)CC(=O)O)O,1.751
0186,CC(C)(C)NC(=O)C1=CC=C(C=C1)N2C=C(C=N2)CNC(=O)C3CC3,11.843333333333334
0186,C1=CC=C2C(=C1)C=CC3=C2C=CN=C3Cl,19.035
0070,CC1=CC2=C(C=C1C)N=CN2,13.89
0186,CCOC(=O)N1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)COC4=CC=CC=C4)C(=C2)C(=O)O,10.49
0241,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,0.651
0186,CC1=C(C(=NO1)C)CCC(=O)N2CCN(CC2)C3=NC=NC4=C3CCC4,9.606666666666666
0186,COC1=NC=C(C=C1)NC(=O)C2CC(=O)N(C2)C3=NNC4=CC=CC=C43,10.775
0186,CN1C(=O)N2CCN(CCC2=N1)C(=O)C3(CCCC3)C4=CC=CC=C4,12.265
0329,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,2.474
0343,CC(=O)CC(=O)OC,0.558
0354,CC(C)NC1=NC(=NC(=N1)NCCCOC)SC,5.192
0186,CC1=NC2=C(N1CCN3CCN(CC3)C(=O)NC4=CC=C(C=C4)F)N=CC=C2,9.725
0186,CC1=C(C=C2C(=N1)C=CN(C2=O)C3=CC=C(C=C3)NC(=O)C)C(=O)OC,11.255
0186,C1CCC2=C(C1)C(=NO2)C(=O)N3CCC4=CC=CC=C4C3,15.383333333333333
0186,CC1=C(N(C(=C1C(=O)C(C)N(CC2=CC=C(C=C2)F)C(=O)C3CCC3)C)C)C(=O)OC,17.273333333333333
0390,CC1CC2=C(C(=CC(=C2Cl)OC)O)C(=O)O1,3.9471
0188,C(CCCCC(=O)O)CCCCO,7.116666667
0391,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,3.1911
0186,CC(C)CCNC(=O)C1C(N(C(=O)C2=CC(=C(C=C12)OC)OC)C)C3=CC=C(C=C3)OC,13.395
0186,C1COCCN1CCCNC(=O)C2=CC=C(C=C2)OCC3=NN=C(S3)C(=O)NC4=CC=CC=C4F,10.963333333333331
0186,C1CCC(C1)NC(=O)C2=NC(=CS2)C(=O)NCC3=CC(=CC=C3)C(F)(F)F,16.735
0204,C1C(C(C(OC1O)CO)O)O,0.746666667
